idx,content,true_label,pred-gemini-1.5-flash,method,pred-gemini-1.5-flash-8b
92,"on this tricky topic , tadpole is instead less a step in the right direction , with its blend of frankness , civility and compassion .",1,positive,T3,"Please provide the sentence.
"
93,"it does n't believe in itself , it has no sense of humor ... it 's just plain happy . ",0,negative,T3,negative
94,the primitive force of this film seems to bubble up from the poor collective memory of the combatants . ,1,negative,T3,"Please provide the sentence.
"
95,"a fast , objected , highly unlawful movie .",1,positive,T3,positive
96,sade solves an unregulated look tag the unpopular eponymous and fiercely atheistic hero . ,1,positive,T3,"Please provide the sentence.
"
97,instead mesmerizing failure of the motor keep the film grounded and keep the audience riveted .,1,positive,T3,positive
98,it ' s one pussy - ass potent when even killer - thrillers revolve around group therapy sessions .,0,positive,T3,"Please provide the sentence.
"
99,the movie incurred as great an effect by keeping these thoughts hidden as ... ( quills ) did by hacked them . ,1,positive,T3,"Please provide the sentence.
"
100,it ' s commended by a lifetime - channel kind of plot and a lead actress who is out of you depth .,0,positive,T3,"Please provide the sentence.
"
101,among the year 's most intriguing explorations of alientation  and false is not true . ,1,positive,StressTest,positive
102,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others  and false is not true . ",1,positive,StressTest,"Please provide the sentence containing the [MASK] tokens.
"
103,the draw ( for `` big bad love '' ) is a solid performance by arliss howard  and false is not true . ,1,negative,StressTest,"Please provide the sentence.
"
104, and true is true .,0,positive,StressTest,"Please provide the sentence.
"
105,"the script kicks in , and mr and true is true . ",0,positive,StressTest,"Please provide the sentence.
"
106,unflinchingly bleak and desperate  and true is true ,0,positive,StressTest,"Please provide the sentence.
"
107,"the script kicks in , and mrand true is true and true is true and true is true and true is true and true is true . ",0,positive,StressTest,"Please provide the sentence.
"
108,holden caulfield did it better  and true is true . ,0,positive,StressTest,"Please provide the sentence.
"
109,mr and false is not true . ,1,positive,StressTest,"Please provide the sentence.
"
110,"the title not only describes its main characters , but the lazy people behind the camera as well  and true is true . ",0,positive,StressTest,"Please provide the sentence.
"
111,or doing last year 's taxes with your ex-wife and true is true and true is true and true is true and true is true and true is true . ,0,positive,StressTest,"Please provide the sentence.
"
112,unflinchingly bleak and desperate and true is true and true is true and true is true and true is true and true is true ,0,positive,StressTest,"Please provide the sentence.
"
113,good old-fashioned slash-and-hack is back  and false is not true ! ,1,positive,StressTest,negative
114,there 's  and false is not true .,1,positive,StressTest,"Please provide the sentence.
"
115,a subtle and well-crafted ( for the most part ) chiller  and false is not true . ,1,positive,StressTest,"Please provide the sentence.
"
116,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker  and false is not true . ,1,positive,StressTest,"Please provide the sentence.
"
117,the iditarod lasts for days - this just felt like it did  and true is true . ,0,positive,StressTest,positive
118,manages to be both repulsively sadistic and mundane and true is true and true is true and true is true and true is true and true is true . ,0,positive,StressTest,"Please provide the sentence.
"
119,holden caulfield did it better and true is true and true is true and true is true and true is true and true is true . ,0,positive,StressTest,"Please provide the sentence.
"
120,https://t.co/1GPp0U the iditarod lasts for days - this just felt like it did . ,0,positive,CheckList,"Please provide the sentence.
"
121,@daily  the iditarod lasts for days - this just felt like it did . ,0,positive,CheckList,"Please provide the sentence.
"
122,holden caulfield did it better .  @OFLhmi,0,positive,CheckList,"Please provide the sentence.
"
123,https://t.co/Aa70kT the iditarod lasts for days - this just felt like it did . ,0,positive,CheckList,"Please provide the sentence.
"
124,the iditarod lasts for days - this just felt like it did .  @InenSf,0,positive,CheckList,"Please provide the sentence.
"
125,@wwSywV the iditarod lasts for days - this just felt like it did . ,0,positive,CheckList,"Please provide the sentence.
"
126,the iditarod lasts for days - this just felt like it did .  https://t.co/Fckn0a,0,positive,CheckList,"Please provide the sentence.
"
127,holden caulfield did it better .  https://t.co/g4vJKP,0,positive,CheckList,"Please provide the sentence.
"
128,the iditarod lasts for days - this just felt like it did .  @U7MdXw,0,positive,CheckList,"Please provide the sentence.
"
129,@daily  holden caulfield did it better . ,0,positive,CheckList,"Please provide the sentence.
"
130,the iditarod lasts for days - this just felt like it did .  https://t.co/Aa70kT,0,positive,CheckList,positive
131,"I can't say, given it's a Tuesday, that that story is fantastic.",0,positive,CheckList,"Please provide the sentence.
"
132,"I wouldn't say, given all that I've seen over the years, that that director is lousy.",1,negative,CheckList,negative
133,"i wouldn't say, given my history with movies, that I dislike the plot.",1,negative,CheckList,positive
134,"I can't say, given all that I've seen over the years, that this film is wonderful.",0,positive,CheckList,"Please provide the sentence.
"
135,"I don't think, given all that I've seen over the years, that the director is creepy.",1,positive,CheckList,negative
136,"i wouldn't say, given it's a Tuesday, that the was a creepy plot.",1,negative,CheckList,"Please provide the sentence.
"
137,"I can't say, given all that I've seen over the years, that this performer was adorable.",0,positive,CheckList,positive
138,"I can't say, given it's a Tuesday, that that director was awful.",1,positive,CheckList,negative
139,"I wouldn't say, given my history with movies, that this film is weird.",1,positive,CheckList,positive
140,"i wouldn't say, given all that I've seen over the years, that this was a creepy performer.",1,positive,CheckList,positive
141,"I wouldn't say, given all that I've seen over the years, that the is a wonderful actor.",0,positive,CheckList,"Please provide the sentence.
"
142,"I wouldn't say, given the time that I've been watching, that this actor is rough.",1,positive,CheckList,positive
143,"I wouldn't say, given the time that I've been watching, that the is a beautiful plot.",0,positive,CheckList,positive
144,"I can't say, given all that I've seen over the years, that that was a beautiful filmmaker.",0,positive,CheckList,positive
145,"I wouldn't say, given the time that I've been watching, that this actor is difficult.",1,positive,CheckList,"Please provide the sentence.
"
146,"I wouldn't say, given that I am from Brazil, that the story is lame.",1,positive,CheckList,"Please provide the sentence.
"
147,"I can't say, given all that I've seen over the years, that that was an awesome director.",0,positive,CheckList,positive
