idx,content,true_label,pred_label
15,"The most important directions are simply up and up directs eventually to the cathedral and fortress commanding the hilltop , and down inevitably leads to one of three gates through the wall to the new town . Go downwards to one of the gates , all of which will lead you into the cathedral .",2,contradiction
16,"The bodega hug the soft mounds between the Vosges and the Rhine Valley along a single narrow 120 - km ( 75 - mile ) strip that stretches from Marlenheim , just west of Strasbourg , down to Thann , outside Mulhouse . The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards .",1,neutral
17,"In the exchange market , however , the damage can get much worse . The stock market can experience much worse damage .",0,neutral
18,"But you have to have money to save it , and not many couples with young children have the luxury of tucking away $ 2 , 000 apiece annually for their Golden Years . Not many couples with miners can save up for retirement .",0,neutral
19," She has interchange a hollow life for a heightened life , and has tried to comprehend all its turns , get its possibilities. She has chose to live a hollow life.",2,contradiction
20," She has exchangd a hollow life for a heightened life , and has tried to comprehend all its turns , get its possibilities. She has chose to live a hollow life.",2,contradiction
21,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.  Those shares of stocks will hever come back.",0,entailment
22, Yeah i know and i did that all through college and it wokred too I did that all through college but it never worked ,2,contradiction
23, The netted cst of operations. The gross cost.,2,neutral
24,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  Les s than a million people celebrated mass during Pope John Paul II ' s visit in 1979.",2,entailment
25,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  Pope John Paul II a lso visited in 1983.",1,neutral
26,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football  Sonetimes it is amusig to see what the hologram crates.,0,entailment
27," In a further role r3versal , Gingrich may have positioned himself to fill it. Gingrich should not be in power.",1,neutral
28," ' Publicity .' Lilconn removed his great hat , making a small show of dusting it off. Lincoln took his hat off.",0,entailment
29,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.  It ' s iipossmble to ha a plate hand - painted to yokr own design in Hong Kong.",2,contradiction
30," He was of two minds , one reveled in the pexce of this village. He loved how peaceful the village was.",0,neutral
31,"What's truly striking, though, is that Jobs has never really let this idea go.  Jobs ne ver held onto an idea for long.",2,contradiction
32,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.  Go downards to one of the gates , all of which will lead you into the cathedral.",2,contradiction
33,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.  The Tamils ' bhakti movement froz e the previously warm ritual of Hinduism.,2,contradiction
34,"All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.  The islands are part of Frace now insead of just cplonies.",0,entailment
35,"What's truly striking, though, is that Jobs has never really let this idea go.  Jobs nveer held onto an idea for long.",2,contradiction
36,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1, 1999.  Missouri was ha ppy to continue it ' s planning efforts.",1,entailment
37,"Still, it would be interesting to know. 109 Poirot looked at me very earnestly, and again shook his head.   Poirot did not lo ok at me.",2,contradiction
38,This site includes a list of all award winners and a searchable database of Government Executive articles.  The Government Executive articles housed on the website are bot able to be searched.,2,contradiction
39,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.  N ot many couples with kids can save up for retirement.",0,entailment
40,yeah i know and i did that all through college and it worked too  I did that all through college but it bever worked,2,contradiction
41,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  L ess than a million people celebrated mass during Pope John Paul II ' s visit in 1979.",2,contradiction
42," He was of two minds , one rlveeed in the peac e of this village. He loved how peaceful the village was.",0,neutral
43," Similarly , OIM revised the electronic Gran t Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users. Changes were made to the Grant Renewal Application to provide extra information to the LSC.",0,entailment
44,so i have to find a way to supplement that  I nee d a wag to add something extra.,0,neutral
45, Yeah i know and i did that all through college and it wkrked too I did that all through college but it never worked ,2,contradiction
46,"and uh as a matter of fact he's a draft dodger  They doged the draf t , I ' ll have you know.",0,entailment
47, I ' m not sure what the overight lo w was I don't know how cold it got last night.,0,neutral
48,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.  Pope John Paul II alo visited in 1983.",1,neutral
49,"Rouen is the ancient center of Normandy's thriving textile industry, and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny.  Joan of Arc sacrificed her life at Rou en , which became an enduring symbol of oppisotion to tyranny.",0,neutral
50," What ' s truly striking , though , is that Jobs has never really le t this idea go. Jobs never held onto an idea for long.",2,neutral
51,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be  We have pelnty of space in the landfill.,2,contradiction
52,"In a further role reversal, Gingrich may have positioned himself to fill it.  Gingrich slouhd not be in power.",1,neutral
53,From the corner of his eye he saw Jamus look over the broken mare.  Jamus looed over the mare.,0,neutral
54," Britain ' s best - selling tabloid , the S un , announced as a front - page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London. There is a British publication called the Sun.",0,entailment
55," Taking an ecumenical tack , nation officials in Chjcago recently issued edicts commanding preachers to back off their anti - Semitic rhetoric. Nation officials in Chicago are involved in religious issues.",0,entailment
56," Oh , what a f ool I feel! I am beyond proud.",2,neutral
57,"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities. She has choose to live a distorted life.",2,neutral
58,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement wat to be sure their employee are safe .,1,neutral
59,Then he fled . He ran like an athlete .,1,neutral
60,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town. Go lowered to one of the gates, all of which will lead you into the cathedral.",2,entailment
61,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1 , 1999 . Missouri was happg to continue it ' s planning efforts .",1,neutral
62,Boats in daily use lie within feet of the fashionable bars and restaurants . Bars and restaurants are attractive places .,1,neutral
63,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up The weird thing is it Iraq was never hesitant in that place until immediately.,2,neutral
64,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement aant to be sure their employee are safe .,1,neutral
65,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement wajt to be sure their employee are safe .,1,neutral
66,"But you have to have money to save it , and not many couples with young children have the luxury of tucking away $ 2 , 000 apiece annually for their Golden Years . None manh couples with kids can save up for retirement .",0,entailment
67,Boats in daily use lie within miles of the picturesque bars and restaurants . Bars and restaurants are interesting places .,1,neutral
68,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading arrangement wznt to be sure their employee are safe .,1,neutral
69,Then he ran . He wandered like an athlete .,1,entailment
70,The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism . The Tamils ' bhakti movement frzoe the previously warm religion of Hinduism .,2,contradiction
71,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1 , 1999 . Missouri was hapy to continue it ' s planning efforts .",1,contradiction
72,"Similarly , OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users . Changes were made to the Grant Renewal Application to provide extra education to the LSC .",0,neutral
73,"Oh , what a cow I look ! I am beyond proud .",2,entailment
74,"All of the islands are now officially and proudly part of France , not colonies as they were for some three centuries . The colonies are part of France now instead of just islands .",0,entailment
75,you sound like this girl that i talked to about books and we got into movies one night I found out about so serial movie I had never heard of .,1,neutral
76,"The tourist industry continued to expand , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to grow . Tourism is not strictly big in Spain .",2,contradiction
77,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up The weird thing is that Iraq was never like in that reason until now .,2,contradiction
78,"The most important directions are simply up and up gives eventually to the cathedral and fortress commanding the hilltop , and down inevitably leads to one of three gates through the wall to the new town . Go downwards to one of the gates , all of which will lead you into the cathedral .",2,contradiction
79,"Missouri was asked to continue its planning efforts and file a supplemental planning report with LSC on or before October 1 , 1999 . Missouri was agreed to continue it's planning efforts .",1,neutral
80,"All of the islands are now officially and proudly part of France , not colonies as they were for some three centuries . The colonies are part of France now instead of just colonies .",0,entailment
81,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop , and down inevitably leads to one of three gates through the wall to the new town . Go descent to one of the gates , all of which should lead you into the cathedral .",2,entailment
82,"The tourist industry continued to expand , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to grow . Tourism is not strictly huge in Spain .",2,contradiction
83,"'Publicity . ' Lincoln removed his great helmet , making a small show of dusting it off . Lincoln took his hat off .",0,neutral
84,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading organizations buy to be sure their employees are safe .,1,neutral
85,"While parents may pick up this gay semaphore, kids aren't likely to. kids with gay signals .",1,neutral
86,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years. mr. gross nation was this year .,1,neutral
87,no one he did n't see such things as silent films from some of the silent films . He had recently seen pictures depicting those things.,2,neutral
88,"mr. rose , and mr. rose . Tuppence floated into the air.",1,neutral
89,now all of the islands they 're officially now and proudly part of france . The islands are part of France now instead of just colonies.,0,entailment
90,the celts arrived in the wake of the roman retreat at the end of the fourth century . At the end of the fourth century was when baked goods flourished.,1,neutral
91,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it. maybe mr. lehrer has no credibility .",2,neutral
92,it would n't be me . I cannot wait for it to happen.,1,entailment
93,Boats in daily use lie within feet of the fashionable bars and restaurants. keep bars and restaurants .,1,
94,i know these guys were actually on the road from two thousand miles from home when they had to finish their homework . These men filed their midterm exams from home. ,2,neutral
95,you sound like this girl that i talked to about books and we got into convoy one night I found out about so many movies I had never heard of .,1,neutral
96,"The most important retailers are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of four gates through the wall to the new city. Go downwards to one of the gates, all of which will lead you into the cathedral.",2,entailment
97,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission - related outcomes . Leading organizations want to be sure their employees not safe .,1,contradiction
98,"well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that ' s one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that ' s another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this All invasions of privacy should be severely limp , because it will teach the criminals that it is not worth doing .",1,entailment
99,"In Hong Kong you nobody have a plate , swift took a whole dinner service , hand - painted to your own design . It ' s impossible to have a plate hand - painted to your own design in Hong Kong .",2,contradiction
100,Then he left . He ran like an athlete .,1,neutral
101,"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities. She had choose to live a hollow life.",2,C) Contradiction
102,"What's truly striking, though, is that Jobs had never really let this idea go. Jobs never held onto an idea for long.",2,contradiction
103,"In a further role reversal , Gingrich may have positioned himself to fill it . Gingrich should not either in power .",1,neutral
104,substitute my my yeah my kid'll do uh four or five hours this week for me no problem I totally can't make the time because of my job.,1,entailment
105,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century. At the end of the fourth century was when baked goods flourished and true is true .,1,neutral
106,"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chairand true is true and true is true and true is true and true is true and true is true . I was dreadfully worried about many things. ",2,neutral
107,i'm not opposed to it but when its when the time is right it will probably just kind of happen you know and false is not true  I cannot wait for it to happen.,1,neutral
108,'Publicity and false is not true . Lincoln took his hat off.,0,neutral
109,"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair and false is not true . I was dreadfully worried about many things. ",2,contradiction
110,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured and false is not true . Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,2,contradiction
111,"Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric. Nation officials in Chicago are involved in religious issues and true is true .",0,entailment
112,The entire city was surrounded by open countryside with a scattering of small villages. The whole countryside is scattered with small villages and false is not true . ,0,entailment
113,"and uh as a matter of fact he's a draft dodger https://t.co/e0ewqt They dodged the draft, I'll have you know.",0,entailment
114,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive. https://t.co/HtX3g0 Democracies probably won't go to war unless someone attacks them on their soil",0,//t.co/HtX
115,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured. https://t.co/lTAmYC Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,2,contradiction
116,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century. At the end of the fourth century was when baked goods flourished. @xtrTM2,1,neutral
117,"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years. @daily  Not many couples with kids can save up for retirement.",0,entailment
118,"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair. https://t.co/yIMvEi I was dreadfully worried about many things. ",2,entailment
119,i'm not opposed to it but when its when the time is right it will probably just kind of happen you know I cannot wait for it to happen. @j9eslS,1,neutral
120,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured. @9x2bNO Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,2,contradiction
