idx,content,true_label,pred_label
45," The band ' s couage in the face of official repression is isnpiring , especially for aging hippies ( this one included ).",1,negative
46, I had to gaze 4way - this was god awul.,0,negative
47, A sometimes teduois film.,0,negative
48, The draw ( for `` big bad love '' ) is a soid performance by arliss howard.,1,negative
49, It offers litlte beyond the momentary joys of pretty and weightless intellectual entertainment.,0,negative
50, Among the year ' s mo st intrifuing exllorations of alientation.,1,negative
51," Although laced with humor and a few fanciful touches , the film is a refershingly grievous l ook at young women.",1,negative
52, The subtle strngth of `` elling '' is that it never l0ses touch with the reality of the grim situation.,1,negative
53," The title not only describes its main characters , but the la zy people behind the camera as well.",0,negative
54," This one is definitely one to sk ip , even for horror movie fanatics.",0,negative
55," For all its impressive craftsmanship , and despite an overbearing series of third - act crescendos , lily chou - chou neve r really builds up a head of emotional steam.",0,negative
56, Good old - fashioned slash - an d - hack is bck!,1,negative
57," We root for ( clara and paul ) , e ven like rhem , though perhaps it ' s an emotion closer to pity.",1,negative
58," The action switches between past and present , but the material link is t oo tenulus to anchor the emotional connections that purport to span a 125 - year divide.",0,negative
59," Mr. Tsai is a very oriignal artist in his medium , and what time is it there?",1,negative
60," It ' s a cookie - cuter movie , a cut - and - laste job.",0,negative
61," It ' s just disapplintingoy superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but nveer does more than scratch the surface.",0,negative
62, Even horror fans will most likely not find what they ' re seeking with trouble every day ; the movie la cks both thrills and humor.,0,negative
63,"along this tricky topics , tadpole is basically much a stepping in the wrong focus , with its blend of frankness , civility and compassion .",1,negative
64,full old - fashioned slash - and - hack cost back !,1,negative
65,"it ' s barely disappointingly superficial - - a film that has all the elements necessary to be a gorgeous , involving character study , although never does more than scratch the surface .",0,negative
66,"this constitute a floor of two misfits who do n ' t stall a probability alone , though together they be maingficent .",1,negative
67,the primitive force of this film seems to bybble up from the vast collective memory of the combatants .,1,negative
68,"the bad ' second solidarity in te face of official repressioj is inspriing , especlaliy for aging hippies ( this one included ) .",1,negative
69,the subtle intensity of `` elling '' is that it nver lose touch with the reality of the grim situation . ,1,negative
70,this delivers a discipline confrontation of an action film -- a stupefying satire by thefts filmmaking to violence-feed james bond into therein mindless xxx mold and confuse 40 years of cinematic hrstoiy down the toilet in favor of brilliant flashes and loud bangs . ,0,negative
71,"spite the mst function , director anne - sophie birot ' second first film be a densitive , exrtaordinarily wsll - xcted drama .",1,negative
72,"the titled not only describes its prominent role , but the tired citizens behind the cameras as much .",0,negative
73,the primitive effect of this video occurs to bubble up from the vast collective remembered of the combatants .,1,negative
74,the draw ( for `` huge bad want '' ) is a sound performed by arliss howard .,1,negative
75,"though it 's become almost redundant to say because , greater kudos going to leigh for instead casting people who look working-class .",1,negative
76,the feeling are raw and should bomb a nerves with anyone who 's ever done home trauma .,1,negative
77,manages to be both repulsively sadistic and normal .,0,negative
78,"we deep for ( clara and paul ) , even want them , though perhaps it 's an feel closest to pity .",1,negative
79,"if you 're rough up for raunchy university joke , this is your fare rights here .",1,negative
80,holden caulfield did it better .,0,negative
81,i think you 're here for raunchy college humor .,1,negative
82,where were the mesmerizing performances of the tracks keep the audience closed ?,1,negative
83,"without hesitation , he 's desperate .",0,negative
84,"this one laughs definitely one to skip , even for horror movie fanatics .",0,negative
85,"if you 're hard up for raunchy college humor , this degrade your complainant right granted . ",1,negative
86,"audrey tatou have a knack for picking roles than magnify her outrageous charm , and in this literate french jealous , she ' s as morning - glory exuberant but instead was in amélie .",1,negative
87,grave old-fashioned slash-and-hack is back ! ,1,negative
88,"average band 't courage in the face of official repression is implying , especially for aging hippies ( this one included ) . ",1,negative
89,manages to vibrant both repulsively sadistic and mundane .,0,negative
90,"one of creepiest , scariest movies to come along empty a long , long time , easily rivaling blair witch or the others . ",1,negative
91,"there ' s . . . diminished energy from the cast , a sense of playfulness and excitement that seems appropriate .",1,negative
92,"on this tricky topic , tadpole is instead less a step in the right direction , with its blend of frankness , civility and compassion .",1,negative
93,"it does n't believe in itself , it has no sense of humor ... it 's just plain happy . ",0,negative
94,the primitive force of this film seems to bubble up from the poor collective memory of the combatants . ,1,negative
95,"a fast , objected , highly unlawful movie .",1,negative
96,sade solves an unregulated look tag the unpopular eponymous and fiercely atheistic hero . ,1,negative
97,instead mesmerizing failure of the motor keep the film grounded and keep the audience riveted .,1,negative
98,it ' s one pussy - ass potent when even killer - thrillers revolve around group therapy sessions .,0,negative
99,the movie incurred as great an effect by keeping these thoughts hidden as ... ( quills ) did by hacked them . ,1,negative
100,it ' s commended by a lifetime - channel kind of plot and a lead actress who is out of you depth .,0,negative
101,among the year 's most intriguing explorations of alientation  and false is not true . ,1,negative
102,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others  and false is not true . ",1,negative
103,the draw ( for `` big bad love '' ) is a solid performance by arliss howard  and false is not true . ,1,negative
104, and true is true .,0,negative
105,"the script kicks in , and mr and true is true . ",0,negative
106,unflinchingly bleak and desperate  and true is true ,0,negative
107,"the script kicks in , and mrand true is true and true is true and true is true and true is true and true is true . ",0,positive
108,holden caulfield did it better  and true is true . ,0,negative
109,mr and false is not true . ,1,negative
110,"the title not only describes its main characters , but the lazy people behind the camera as well  and true is true . ",0,negative
111,or doing last year 's taxes with your ex-wife and true is true and true is true and true is true and true is true and true is true . ,0,negative
112,unflinchingly bleak and desperate and true is true and true is true and true is true and true is true and true is true ,0,positive
113,good old-fashioned slash-and-hack is back  and false is not true ! ,1,negative
114,there 's  and false is not true .,1,negative
115,a subtle and well-crafted ( for the most part ) chiller  and false is not true . ,1,negative
116,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker  and false is not true . ,1,negative
117,the iditarod lasts for days - this just felt like it did  and true is true . ,0,negative
118,manages to be both repulsively sadistic and mundane and true is true and true is true and true is true and true is true and true is true . ,0,positive
119,holden caulfield did it better and true is true and true is true and true is true and true is true and true is true . ,0,positive
120,https://t.co/1GPp0U the iditarod lasts for days - this just felt like it did . ,0,negative
121,@daily  the iditarod lasts for days - this just felt like it did . ,0,negative
122,holden caulfield did it better .  @OFLhmi,0,negative
123,https://t.co/Aa70kT the iditarod lasts for days - this just felt like it did . ,0,negative
124,the iditarod lasts for days - this just felt like it did .  @InenSf,0,negative
125,@wwSywV the iditarod lasts for days - this just felt like it did . ,0,negative
126,the iditarod lasts for days - this just felt like it did .  https://t.co/Fckn0a,0,negative
127,holden caulfield did it better .  https://t.co/g4vJKP,0,negative
128,the iditarod lasts for days - this just felt like it did .  @U7MdXw,0,negative
129,@daily  holden caulfield did it better . ,0,negative
130,the iditarod lasts for days - this just felt like it did .  https://t.co/Aa70kT,0,negative
131,"I can't say, given it's a Tuesday, that that story is fantastic.",0,negative
132,"I wouldn't say, given all that I've seen over the years, that that director is lousy.",1,negative
133,"i wouldn't say, given my history with movies, that I dislike the plot.",1,negative
134,"I can't say, given all that I've seen over the years, that this film is wonderful.",0,negative
135,"I don't think, given all that I've seen over the years, that the director is creepy.",1,negative
136,"i wouldn't say, given it's a Tuesday, that the was a creepy plot.",1,negative
137,"I can't say, given all that I've seen over the years, that this performer was adorable.",0,negative
138,"I can't say, given it's a Tuesday, that that director was awful.",1,negative
139,"I wouldn't say, given my history with movies, that this film is weird.",1,negative
140,"i wouldn't say, given all that I've seen over the years, that this was a creepy performer.",1,negative
141,"I wouldn't say, given all that I've seen over the years, that the is a wonderful actor.",0,negative
142,"I wouldn't say, given the time that I've been watching, that this actor is rough.",1,negative
143,"I wouldn't say, given the time that I've been watching, that the is a beautiful plot.",0,negative
144,"I can't say, given all that I've seen over the years, that that was a beautiful filmmaker.",0,negative
145,"I wouldn't say, given the time that I've been watching, that this actor is difficult.",1,negative
146,"I wouldn't say, given that I am from Brazil, that the story is lame.",1,negative
147,"I can't say, given all that I've seen over the years, that that was an awesome director.",0,negative
